id,fecha_inicio,fecha_ultima_accion,pex,p1a,p1b,pinst,ppei1,ppei2,ppei3,ppei4,p2,p3,p4a,p4b,p4c,nps,pgen,gen,region,educ,edad,ocup,ingreso,sitdisc,indg,mes
28756,2023-08-22 18:50:37,2023-08-22 19:03:02,7,7,6,7,7,7,7,7,Solucionó completamente su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,7,7,7,10,7,Femenino.,Región de Aysén del General Carlos Ibáñez del Campo.,Media completa.,45 a 64 años.,Trabajador/a por cuenta propia,Menos de $300.000,No,Sí,August
28757,2023-08-22 19:14:57,2023-08-22 19:16:31,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $300.001 y $399.999,No,No,August
28758,2023-08-22 20:34:53,2023-08-22 20:39:48,7,7,7,5,7,5,7,7,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,6,Femenino.,Región de Aysén del General Carlos Ibáñez del Campo.,Superior universitaria completa.,30 a 44 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No,August
28759,2023-08-22 20:46:16,2023-08-22 20:50:54,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28763,2023-08-22 23:08:08,2023-08-22 23:25:44,6,6,6,7,6,6,6,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Desempleado/a o desocupado/a,Entre $600.000 y $1.099.000,No,No,August
28766,2023-08-23 09:01:44,2023-08-23 09:06:28,1,1,1,1,1,1,1,5,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,1,5,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,August
28767,2023-08-23 09:10:13,2023-08-23 09:12:51,7,7,5,7,7,5,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28768,2023-08-23 09:57:02,2023-08-23 09:58:38,1,1,1,5,3,2,5,7,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,3,5,6,4,Femenino.,Región del Maule.,Superior universitaria completa.,18 a 29 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28771,2023-08-23 11:25:26,2023-08-23 11:27:13,4,1,1,3,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región del Libertador General Bernardo O’Higgins.,Superior universitaria completa.,45 a 64 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No,August
28772,2023-08-23 11:57:59,2023-08-23 12:12:28,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No,August
28774,2023-08-23 12:30:48,2023-08-23 12:35:45,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No,August
28775,2023-08-23 12:47:01,2023-08-23 12:54:00,2,2,1,2,2,2,1,5,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,2,2,1,2,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28776,2023-08-23 12:58:42,2023-08-23 13:04:33,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Trabajador/a por cuenta propia,Entre $300.001 y $399.999,No,No,August
28780,2023-08-23 13:41:16,2023-08-23 13:43:18,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Tarapacá.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28781,2023-08-23 13:57:41,2023-08-23 14:04:10,7,7,6,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Media completa.,65 años o más.,Jubilado/a,Entre $600.000 y $1.099.000,No,Sí,August
28783,2023-08-23 14:21:35,2023-08-23 14:24:38,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región de Antofagasta.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,August
28785,2023-08-23 15:07:08,2023-08-23 15:08:29,7,7,7,7,6,3,6,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,6,6,10,7,Masculino.,Región del Libertador General Bernardo O’Higgins.,Media completa.,18 a 29 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,Sí,August
28786,2023-08-23 15:41:36,2023-08-23 15:46:09,7,7,4,7,7,6,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Menos de $300.000,No,No,August
28788,2023-08-23 15:54:06,2023-08-23 15:58:24,6,6,5,6,6,5,5,6,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,5,5,7,6,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28789,2023-08-23 16:18:42,2023-08-23 16:22:18,1,1,1,1,1,2,2,2,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,1,6,1,5,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28790,2023-08-23 17:03:47,2023-08-23 17:13:27,5,1,1,6,6,6,7,7,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,1,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28791,2023-08-23 17:07:39,2023-08-23 17:11:41,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Arica y Parinacota.,Superior técnico profesional completa.,18 a 29 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,Sí,August
28792,2023-08-23 18:38:30,2023-08-23 18:40:55,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,18 a 29 años.,Empleador/a o patrón/a,Entre $400.000 y $599.999,No,No,August
28794,2023-08-23 18:56:31,2023-08-23 18:59:55,7,7,3,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28795,2023-08-23 19:05:37,2023-08-23 19:14:59,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28796,2023-08-23 19:48:31,2023-08-23 19:50:13,7,7,7,7,6,5,7,4,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,2,1,1,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28799,2023-08-23 20:14:08,2023-08-23 20:16:11,5,7,6,4,6,4,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,5,5,7,8,5,Femenino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28801,2023-08-23 20:51:38,2023-08-23 20:56:27,7,7,7,7,7,5,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,45 a 64 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,No,August
28803,2023-08-23 21:44:52,2023-08-23 21:48:36,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,7,1,4,Masculino.,Región de Arica y Parinacota.,Media completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,Menos de $300.000,No,No,August
28804,2023-08-23 21:59:48,2023-08-23 22:01:45,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,1,3,1,1,Masculino.,Región del Maule.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28806,2023-08-23 22:13:11,2023-08-23 22:17:03,5,1,1,6,6,6,5,6,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,5,8,4,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28810,2023-08-24 09:05:43,2023-08-24 09:09:09,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Media completa.,45 a 64 años.,Trabajo familiar o personal no remunerado,Entre $300.001 y $399.999,No,No,August
28811,2023-08-24 09:19:09,2023-08-24 09:24:25,3,2,1,4,3,2,2,5,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,5,1,4,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28812,2023-08-24 09:21:07,2023-08-24 09:26:45,7,7,7,7,7,4,5,5,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,5,Femenino.,Región del Maule.,Superior técnico profesional completa.,18 a 29 años.,Asalariado/a,Entre $300.001 y $399.999,No,No,August
28813,2023-08-24 09:27:22,2023-08-24 09:29:14,7,7,7,7,6,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28815,2023-08-24 09:37:40,2023-08-24 09:40:26,7,7,7,7,6,6,6,6,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,10,6,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,August
28819,2023-08-24 11:14:22,2023-08-24 11:16:50,7,7,5,7,7,7,7,7,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Empleador/a o patrón/a,$1.100.000 o más,No,No,August
28821,2023-08-24 11:21:49,2023-08-24 11:23:21,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28822,2023-08-24 11:47:40,2023-08-24 11:52:15,1,1,1,1,1,1,1,4,Otro,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,1,Femenino.,Región del Maule.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,August
28824,2023-08-24 11:51:49,2023-08-24 11:53:35,7,1,1,7,7,7,7,7,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Básica completa.,65 años o más.,Asalariado/a,Entre $400.000 y $599.999,Sí,No,August
28826,2023-08-24 12:36:39,2023-08-24 12:39:07,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,2,2,1,1,Femenino.,Región de Tarapacá.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28828,2023-08-24 13:38:44,2023-08-24 13:43:52,6,7,1,6,6,5,6,5,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,6,6,Femenino.,Región de Los Lagos.,Superior universitaria completa.,45 a 64 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,No,August
28835,2023-08-24 14:05:39,2023-08-24 14:08:50,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región Metropolitana de Santiago.,Media completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28836,2023-08-24 14:25:57,2023-08-24 14:32:42,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28838,2023-08-24 15:00:21,2023-08-24 15:03:43,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Otro,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Trabajador/a por cuenta propia,Entre $400.000 y $599.999,No,No,August
28840,2023-08-24 15:39:01,2023-08-24 15:41:31,1,1,1,1,1,1,1,7,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,7,1,5,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,18 a 29 años.,Asalariado/a,Entre $300.001 y $399.999,No,No,August
28843,2023-08-24 16:58:00,2023-08-24 17:02:58,1,1,1,1,1,1,1,6,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,1,1,1,1,5,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,August
28845,2023-08-24 17:06:52,2023-08-24 17:09:03,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Media completa.,45 a 64 años.,Jubilado/a,Entre $300.001 y $399.999,No,No,August
28846,2023-08-24 17:08:01,2023-08-24 17:21:44,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,2,1,1,1,1,Masculino.,Región de Valparaíso.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28847,2023-08-24 17:27:04,2023-08-24 17:29:47,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28848,2023-08-24 17:29:56,2023-08-24 17:33:27,1,1,1,1,1,1,1,1,Otro,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28850,2023-08-24 18:08:12,2023-08-24 18:16:48,1,1,1,1,2,2,1,3,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,3,1,4,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28852,2023-08-24 18:16:43,2023-08-24 18:21:51,7,7,7,5,5,5,5,6,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,8,5,Masculino.,Región de Los Lagos.,Superior universitaria completa.,65 años o más.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No,August
28855,2023-08-24 18:47:40,2023-08-24 19:02:26,1,1,1,1,1,1,1,4,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,No,August
28858,2023-08-24 19:20:39,2023-08-24 19:24:41,7,1,1,2,1,1,1,1,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,1,1,Masculino.,Región de La Araucanía.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28860,2023-08-24 19:43:40,2023-08-24 19:50:02,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,1,5,1,1,Masculino.,Región del Biobío.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28861,2023-08-24 20:29:48,2023-08-24 20:34:50,2,1,1,2,2,2,4,6,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,3,3,4,5,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No,August
28863,2023-08-24 21:26:52,2023-08-24 21:31:34,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28864,2023-08-24 21:49:47,2023-08-24 21:57:42,1,1,1,3,1,1,1,3,Otro,Me hubiera gustado recibir información con mayor frecuencia.,1,1,2,1,1,Femenino.,Región de Valparaíso.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28865,2023-08-24 22:22:34,2023-08-24 22:30:07,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Coquimbo.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,August
28867,2023-08-24 23:18:05,2023-08-24 23:21:37,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,4,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,18 a 29 años.,Desempleado/a o desocupado/a,Menos de $300.000,No,Sí,August
28869,2023-08-25 08:10:04,2023-08-25 08:19:16,7,7,1,7,7,7,7,7,Otro,El SERNAC me envió información con la frecuencia adecuada.,4,7,7,9,6,Masculino.,Región de Atacama.,Superior técnico profesional completa.,30 a 44 años.,Empleador/a o patrón/a,Entre $600.000 y $1.099.000,No,Sí,August
28872,2023-08-25 09:08:57,2023-08-25 09:11:03,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Magallanes y la Antártica Chilena.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28873,2023-08-25 10:11:40,2023-08-25 10:14:22,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con menor frecuencia.,1,1,1,1,1,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,August
28875,2023-08-25 11:26:01,2023-08-25 11:28:21,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,18 a 29 años.,Asalariado/a,$1.100.000 o más,No,No,August
28877,2023-08-25 11:50:46,2023-08-25 12:16:53,1,1,1,1,1,1,2,7,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,5,3,4,Masculino.,Región del Maule.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,August
28878,2023-08-25 11:52:20,2023-08-25 11:55:58,7,7,7,2,2,1,1,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,6,7,9,6,Masculino.,Región del Maule.,Superior técnico profesional completa.,30 a 44 años.,Desempleado/a o desocupado/a,Entre $300.001 y $399.999,No,No,August
28879,2023-08-25 12:26:35,2023-08-25 12:29:46,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Los Ríos.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28881,2023-08-25 12:50:41,2023-08-25 12:57:03,4,3,4,6,5,3,2,6,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,3,3,6,6,Masculino.,Región Metropolitana de Santiago.,Superior universitaria completa.,45 a 64 años.,Asalariado/a directivo/a o gerente,Entre $600.000 y $1.099.000,No,No,August
28886,2023-08-25 15:45:35,2023-08-25 15:49:26,7,7,7,7,5,3,3,3,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,6,Femenino.,Región Metropolitana de Santiago.,Media completa.,30 a 44 años.,Asalariado/a,Entre $300.001 y $399.999,No,No,August
28890,2023-08-25 17:01:54,2023-08-25 17:17:52,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Masculino.,Región del Libertador General Bernardo O’Higgins.,Básica completa.,45 a 64 años.,Asalariado/a,Entre $400.000 y $599.999,No,No,August
28892,2023-08-25 17:37:29,2023-08-25 17:41:23,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,Sí,No,August
28894,2023-08-25 19:32:11,2023-08-25 19:34:37,7,7,6,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28904,2023-08-26 10:33:32,2023-08-26 10:42:04,3,1,1,5,7,6,5,6,Otro,El SERNAC me envió información con la frecuencia adecuada.,7,1,2,10,7,Femenino.,Región de Los Lagos.,Media completa.,45 a 64 años.,Asalariado/a,Entre $400.000 y $599.999,No,Sí,August
28905,2023-08-26 10:43:13,2023-08-26 10:45:54,1,1,1,1,1,1,1,2,No solucionó su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,1,6,1,1,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a directivo/a o gerente,$1.100.000 o más,No,No,August
28906,2023-08-26 11:32:53,2023-08-26 11:34:56,7,7,5,7,6,6,7,7,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,5,Femenino.,Región Metropolitana de Santiago.,Superior universitaria completa.,30 a 44 años.,Asalariado/a,$1.100.000 o más,No,No,August
28907,2023-08-26 14:46:14,2023-08-26 14:48:16,7,7,6,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Los Ríos.,Superior técnico profesional completa.,45 a 64 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No,August
28908,2023-08-26 15:58:12,2023-08-26 16:00:47,7,7,4,7,7,7,7,7,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Valparaíso.,Superior universitaria completa.,65 años o más.,Jubilado/a,$1.100.000 o más,No,No,August
28911,2023-08-26 22:25:51,2023-08-26 22:31:26,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región de Coquimbo.,Media completa.,65 años o más.,Jubilado/a,Entre $400.000 y $599.999,No,No,August
28912,2023-08-27 17:02:50,2023-08-27 17:05:53,7,7,6,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,7,7,10,7,Masculino.,Región de Valparaíso.,Superior universitaria completa.,30 a 44 años.,Trabajador/a por cuenta propia,Entre $600.000 y $1.099.000,No,No,August
28914,2023-08-27 17:58:01,2023-08-27 18:11:25,6,6,5,5,7,7,7,7,Solucionó parcialmente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,6,6,6,10,6,Femenino.,Región del Libertador General Bernardo O’Higgins.,Básica completa.,65 años o más.,Jubilado/a,Menos de $300.000,Sí,No,August
28919,2023-08-28 09:41:35,2023-08-28 09:45:46,1,1,1,1,1,1,1,1,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,1,1,1,1,1,Femenino.,Región Metropolitana de Santiago.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28924,2023-08-28 11:01:40,2023-08-28 11:04:38,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Masculino.,Región de Los Lagos.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28926,2023-08-28 11:39:04,2023-08-28 11:45:18,7,1,1,4,2,2,2,4,No solucionó su Reclamo.,Me hubiera gustado recibir información con mayor frecuencia.,4,1,1,1,1,Femenino.,Región del Biobío.,Superior técnico profesional completa.,30 a 44 años.,Asalariado/a,Entre $600.000 y $1.099.000,No,No,August
28928,2023-08-28 12:53:04,2023-08-28 13:05:00,7,7,7,7,7,7,7,7,Solucionó completamente su Reclamo.,El SERNAC me envió información con la frecuencia adecuada.,7,7,7,10,7,Femenino.,Región del Libertador General Bernardo O’Higgins.,Superior técnico profesional completa.,45 a 64 años.,Asalariado/a,$1.100.000 o más,No,Sí,August
